workingset(Bytes),stride(Bytes),cycles
1024, 8, 624
2048, 8, 1065
4096, 8, 1838
8192, 8, 3432
16384, 8, 6414
32768, 8, 13500
65536, 8, 26655
131072, 8, 53070
262144, 8, 106025
524288, 8, 210364
1048576, 8, 430247
2097152, 8, 838892
4194304, 8, 1692862
8388608, 8, 3471812
16777216, 8, 6923310
33554432, 8, 14250606
67108864, 8, 27952598
134217728, 8, 56130452
268435456, 8, 112557936
536870912, 8, 225551304

1024, 64, 643
2048, 64, 1012
4096, 64, 1838
8192, 64, 3478
16384, 64, 6550
32768, 64, 14004
65536, 64, 80924
131072, 64, 161260
262144, 64, 353078
524288, 64, 835906
1048576, 64, 1675382
2097152, 64, 3356688
4194304, 64, 6673848
8388608, 64, 13428052
16777216, 64, 27304820
33554432, 64, 71747214
67108864, 64, 150975508
134217728, 64, 307850986
268435456, 64, 617021764
536870912, 64, 1250430035

1024, 128, 642
2048, 128, 1047
4096, 128, 1869
8192, 128, 3432
16384, 128, 6592
32768, 128, 13782
65536, 128, 84762
131072, 128, 177228
262144, 128, 416106
524288, 128, 970980
1048576, 128, 1939970
2097152, 128, 3843064
4194304, 128, 7986506
8388608, 128, 15684480
16777216, 128, 35024944
33554432, 128, 177629280
67108864, 128, 389050276
134217728, 128, 773662229
268435456, 128, 1541054862
536870912, 128, 3131279520

1024, 256, 654
2048, 256, 1042
4096, 256, 1860
8192, 256, 3414
16384, 256, 6864
32768, 256, 14156
65536, 256, 81976
131072, 256, 163572
262144, 256, 482028
524288, 256, 1532830
1048576, 256, 3115291
2097152, 256, 6220564
4194304, 256, 13374792
8388608, 256, 25593776
16777216, 256, 57117092
33554432, 256, 331687414
67108864, 256, 738557523
134217728, 256, 1589637843
268435456, 256, 2927005066
536870912, 256, 5815555792

1048576, 32768, 3635544
2097152, 32768, 10330492
4194304, 32768, 27979690
8388608, 32768, 57209130
16777216, 32768, 128738546
33554432, 32768, 290236596
67108864, 32768, 605688680
134217728, 32768, 1405834674
268435456, 32768, 6164419942
536870912, 32768, 13904372671