bits,partition,build,probe,all
1, 1445.1, 1897.3, 948.2, 4290.6
2, 1457.1, 1535.9, 937.1, 3930.1
3, 1490.4, 1351.9, 882.7, 3724.9
4, 1515.0, 1038.4, 772.0, 3325.3
5, 1549.5, 750.9, 598.6, 2899.0
6, 1560.0, 603.5, 384.0, 2547.5
7, 1505.4, 564.8, 370.8, 2441.0
8, 1565.3, 577.0, 385.6, 2528.0
9, 1537.2, 527.2, 352.3, 2416.7
10, 1575.6, 528.9, 323.5, 2428.0
11, 1633.5, 599.9, 298.1, 2531.5
12, 1741.7, 617.6, 299.2, 2658.5
13, 1732.5, 581.3, 274.4, 2588.2
14, 1814.8, 594.6, 268.6, 2677.9
15, 1846.7, 596.4, 262.4, 2705.5
16, 1959.0, 554.3, 276.0, 2789.3
17, 2025.7, 403.5, 272.3, 2701.6
18, 2030.8, 388.1, 259.9, 2678.8
19, 2384.8, 424.8, 280.7, 3090.3
20, 2936.8, 414.2, 279.8, 3630.8
21, 4176.9, 583.4, 373.1, 5133.4
22, 3894.2, 504.8, 301.1, 4700.0
23, 4316.2, 735.6, 410.7, 5462.4
24, 4813.3, 1200.0, 618.0, 6631.3
25, 5841.9, 2271.3, 1072.8, 9186.1